Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200701FH10342,525910,177090,-0.188269,51.478709,3,2,1,5,11,E09000013,3,308,6,30,6,0,1,4,1,1,1,1,E01001921,922,1331
200701FH10344,522430,180080,-0.237319,51.506345,3,2,2,4,11,E09000013,3,4020,6,30,6,0,0,1,1,1,1,1,E01001860,914,1109
200701FH10345,523810,179690,-0.217582,51.502539,3,2,1,5,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001852,915,539
200701FH10346,522140,179250,-0.241783,51.498948,3,2,1,5,11,E09000013,3,402,6,30,3,0,1,1,1,1,1,1,E01001930,915,1049
200701FH10347,525340,177230,-0.196423,51.480094,2,1,1,7,11,E09000013,3,304,6,30,3,0,4,4,1,1,1,1,E01001953,910,29
200701FH10348,523350,178430,-0.224646,51.491316,3,2,1,6,11,E09000013,3,219,2,30,0,0,0,1,1,1,1,1,E01001898,916,1179
200701FH10349,525850,175740,-0.189613,51.46659,3,2,1,1,11,E09000013,3,217,6,30,6,0,0,1,1,1,1,2,E01001938,918,864
200701FH10350,525570,176790,-0.193269,51.476089,3,1,2,7,11,E09000013,3,308,6,30,3,217,5,1,1,1,1,1,E01001922,924,839
200701FH10351,522620,179810,-0.234677,51.503877,2,2,1,2,11,E09000013,5,0,6,30,3,0,0,4,2,2,1,2,E01001862,877,1369
200701FH10352,525490,176710,-0.194448,51.475387,3,2,1,2,11,E09000013,3,308,6,30,0,0,0,1,1,1,1,1,E01001922,919,434
200701FH10353,522360,180940,-0.238029,51.514089,3,2,1,3,11,E09000013,3,40,3,30,0,0,0,1,1,1,1,1,E01001955,920,1000
200701FH10354,525840,177030,-0.189298,51.478186,3,2,1,2,11,E09000013,3,308,6,30,3,0,0,1,1,1,1,1,E01001923,919,511
200701FH10357,525230,176430,-0.198289,51.472928,3,2,1,3,11,E09000013,3,308,6,30,3,308,0,1,1,1,1,2,E01001925,920,434
